avgAnnCount,avgDeathsPerYear,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate,deathRate
257,114,441.8,42967,44581,15.5,0,"(42724.4, 45201]",40.1,39.3,40.8,"Stephens County, Oklahoma",0.0248,55.2,23,34.7,,4.7,38.9,12.8,53.8,6.6,62.5,45.8,40,37.1,19.4,84.04454761,2.073383029,0.517787796,3.106726778,52.61361092,2.876060418,189.1
26,14,334.7,36627,5977,24.1,0,"(34218.1, 37413.8]",38.2,37.4,38.6,"Crosby County, Texas",2.71,53.8,26.7,41,32.4,0,30.7,9.2,54.7,10,43.8,33.6,28,40.3,28.3,89.99500583,3.878808057,0,3.712335608,52.67245318,4.238618524,174.1
158,61,411.3,55354,29228,10.8,1402.764472,"(54545.6, 61494.5]",43.6,42.3,44.6,"Park County, Wyoming",2.38,56.3,12.4,29.1,53.2,5.3,28.5,17.5,64.5,3.8,71.4,54.9,44.4,30.5,13.1,94.78005865,0.814214249,0.600310505,1.28687252,54.58467264,5.701401192,152
428,150,505.4,51600,71849,11.8,125.2627037,"(51046.4, 54545.6]",40.8,39.3,41.8,"Madison County, New York",2.55,46.7,7.1,25.6,,5.5,33.7,14.8,55.4,5.1,74.1,59,54.4,33.5,17.2,94.83617988,2.048959642,0.800806329,0.179491074,51.08794887,3.238819733,174.2
81,37,464.8,44139,14974,18,0,"(42724.4, 45201]",38.6,37.4,42.1,"LaSalle Parish, Louisiana",2.46,52.3,30.8,51.2,,1.5,43.6,8.6,45.5,6.3,61.3,,42.4,32.7,18.1,86.87160212,11.21551782,0.053694879,0.154372777,53.6840209,5.144490314,209.6
76,36,427.8,51285,14008,11.5,0,"(51046.4, 54545.6]",43,42.5,43.6,"Newton County, Indiana",2.56,53,29,29.8,,7.4,49.5,6.5,54.2,8.9,66.1,51,45.5,33.8,17.4,97.02639254,0.277441844,0.433947499,0.775414384,52.49027958,5.900305188,194.1
2812,1119,472.2,48195,678889,19.9,849.9180278,"(48021.6, 51046.4]",34.2,33.5,34.9,"Davidson County, Tennessee",2.41,40.5,10.8,27.5,,17,24.1,23.6,64.5,7.2,64.3,54.1,46.5,29.1,18.5,62.43709245,27.59109256,3.205589623,3.999507977,37.31146697,5.788303646,190.8
151,70,452.9,52491,28701,10.7,34.84199157,"(51046.4, 54545.6]",40.4,38.9,41.7,"Ripley County, Indiana",2.58,57.3,17.7,38.7,,4.4,44.9,11.6,58.1,7.4,75.1,,55.5,28.1,13.4,97.05368377,0.475325038,1.076471411,0.492800224,58.48365534,5.038143675,201.4
32,14,403.5,53654,6430,12.3,0,"(51046.4, 54545.6]",40.7,39.9,42.2,"Moody County, South Dakota",2.3,56,22.4,17.7,,16,33.8,18,67.6,6.1,71.7,53.5,40,31.6,15.9,79.85712067,0.760987731,1.692809442,0.559093027,52.1074226,10.9939759,166
9,3,338.6,62010,1846,10.6,0,"(61494.5, 125635]",48.5,45.8,49.6,"Oliver County, North Dakota",2.3,72.5,11.6,35.7,,8.9,30.3,13.7,59.1,3.6,80.1,60.9,41.4,27,7.8,92.52336449,0.329851567,0.164925783,1.209455745,66.16161616,15.4340836,137.6
280,119,466.3,43701,40884,13.4,1858.917914,"(42724.4, 45201]",47.2,46.3,48,"Marinette County, Wisconsin",2.2,54.6,12.1,34.6,,3.2,42.6,9.9,55.3,7.5,69.6,50.4,45.4,41.6,19.9,96.72536149,0.370576695,0.547387798,0.542543658,49.59331841,4.527363184,182.8
47,21,410.3,50999,6995,11.7,0,"(48021.6, 51046.4]",49.1,49.2,49,"Henderson County, Illinois",2.26,57.3,16.5,34,,2.7,44,11.2,56.8,7,76.1,54.5,47.7,37,14,97.62851463,0.085203067,0.624822494,0.170406135,52.84421461,3.706395349,178.2
1258,473,455.8,50154,286956,17.9,477.4251105,"(48021.6, 51046.4]",34.3,32.8,35.8,"Chatham County, Georgia",2.55,41.1,14,28.3,,8,25.5,20.3,55.8,9.7,63.8,51.2,40.5,28.6,16.4,53.67825558,39.43786029,2.593003688,1.430412833,40.78656398,5.771170399,168.8
57,28,401.5,38219,10243,17.9,0,"(37413.8, 40362.7]",44.6,43.4,47,"Carroll County, Mississippi",2.75,53.1,35.1,31.8,,5,37.3,7.8,43.7,11.9,53.6,39,33.5,45.3,28.4,64.828787,33.56548655,0.241826272,0,58.25663238,3.765060241,191.7
73,32,456.2,49513,10021,10.8,0,"(48021.6, 51046.4]",46.1,44.8,48.1,"Sac County, Iowa",2.25,59.3,16.2,27.3,45.5,11,39.3,14.9,63.3,4,77.6,57.4,44.8,33.3,13.3,97.9011979,0.702900703,0,0.316800317,54.53926464,8.116710875,174.1
1962.667684,123,453.5494221,48525,45435,14.7,0,"(48021.6, 51046.4]",45.9,44.6,47.1,"Itasca County, Minnesota",2.33,58.5,14.7,27.1,52.7,5.5,31.8,15.1,54.2,7.1,69.6,48.9,43.2,40.6,18.9,93.05904661,0.489482736,0.390263262,0.273404771,55.68151859,6.184256155,177.7
301,106,479.7,62526,71275,8.5,252.5429674,"(61494.5, 125635]",31.1,29.6,32.8,"Ward County, North Dakota",2.49,50.8,9.2,31.5,,8.4,29.3,19.2,66.5,2.6,82.9,63.9,50.9,21.5,7.3,88.57476084,3.12536908,1.30063777,1.567851659,49.25567334,7.89058058,162.4
1343,549,478.5,43160,203751,17.2,0,"(42724.4, 45201]",43.6,41.9,45.3,"Trumbull County, Ohio",2.33,48.8,19.5,42.3,32.3,6,45.2,12.1,52.5,7.4,63.8,48.6,44.4,38.5,22.3,88.7742098,8.347991259,0.539314736,0.163781115,45.65002073,4.660949114,187
152,70,501.8,37625,23372,22.1,0,"(37413.8, 40362.7]",41.9,41.2,43.2,"Boone County, West Virginia",2.5,55.2,21.3,42.9,,5.2,49.4,5.4,39.5,9.2,60.2,42.8,41.3,46.3,25.4,98.3125,0.675,0.091666667,0.129166667,53.06378967,4.220287661,236.7
505,199,481,43442,114545,22.9,52.38116024,"(42724.4, 45201]",34,33.2,35,"Carroll County, Georgia",2.72,46.6,14,28.4,,4.6,35.8,11.1,53.7,12.1,60.2,,43.3,32.1,19.8,76.42257649,18.33918025,0.844620099,1.740752254,48.27568997,7.523638459,194.5
29,15,356.1,40351,5220,16,191.5708812,"(37413.8, 40362.7]",46.1,45.2,47.8,"Sheridan County, Nebraska",2.29,56.5,30.1,26.2,,5.4,31.1,17.2,61.2,1.4,64.9,,28.1,38.3,17.8,84.54854552,0.434454099,0.547789951,0.491122025,52.45683931,5.360824742,169.9
179,63,485.3,48658,31587,12.5,63.31718745,"(48021.6, 51046.4]",37.8,35.5,39.6,"Adams County, Nebraska",2.35,51.9,7.7,20.7,,4.6,32,14.9,63.5,5.5,75.6,60.6,51.1,27.5,12.1,94.92716748,0.963679155,1.237198651,1.052732015,49.86582478,5.432887856,157.5
84,29,492.9,61215,12435,6.7,0,"(54545.6, 61494.5]",42.2,40.5,44,"Grundy County, Iowa",2.37,62.7,9,24.5,,14.7,35.3,17.4,,3.9,82.9,63.5,54.9,30.3,10.8,98.29934714,0.411058274,0.378818409,0.10477956,58.69187729,6.03588907,151.8
69,24,492.2,36459,11885,25.1,0,"(34218.1, 37413.8]",42.9,41.5,45.5,"Greensville County, Virginia",2.17,38.4,18.1,39,,1.4,42.3,4.6,33.5,6.4,65.8,,45.5,37.8,20.2,39.50680272,58.04421769,0.170068027,0.68877551,47.70510614,1.886792453,174.7
198,89,426.3,42000,38012,19.4,0,"(40362.7, 42724.4]",40.9,39.5,42.5,"Newberry County, South Carolina",2.55,45.6,18.6,32.1,43,6.4,34.9,10.7,51.9,10.2,63.4,47.5,42.1,39.3,21.5,61.70867604,30.00530645,0.644733351,5.444414964,46.41282285,5.557586837,185.1
175,78,405.3,34288,35370,28.8,28.27254736,"(34218.1, 37413.8]",37.9,36.1,39.9,"Ware County, Georgia",2.39,48.2,37.6,27.3,,5,40.8,7.3,46,7.2,50.2,,31.9,42.8,25.3,65.82313915,29.61957282,1.077737032,2.180667917,45.65139199,7.919234299,180.1
88,36,459.4,42579,13088,22.3,0,"(40362.7, 42724.4]",49.3,48.4,49.8,"Pend Oreille County, Washington",2.38,55.9,34.7,39.4,,1.4,32.2,12,39.5,10.3,55.5,37.8,29.9,48.1,26.6,91.78747687,0.185070944,0.208204812,0.616903146,53.44699778,5.587583149,190.5
102,32,410.8,83603,24735,5.9,0,"(61494.5, 125635]",45.1,45.1,45.2,"Elbert County, Colorado",2.82,62.6,18.2,32.9,,11,27,22,64.7,6.7,77.9,63.1,51.7,22.9,10.8,95.27562356,0.528191155,0.838398659,0.301823517,68.195319,3.311386522,148.3
385,168,431.5,46715,75077,16.5,173.1555603,"(45201, 48021.6]",41.3,40.3,42,"Van Buren County, Michigan",2.61,51.1,29.2,33.7,,5.9,34,12.6,54.4,8.4,62.7,46.6,42,39.8,22.1,87.85019442,3.613754297,0.578625367,3.921646693,51.82077766,4.666419111,188.2
85,34,486.2,39563,12298,15,0,"(37413.8, 40362.7]",43.3,41.8,45.8,"Blackford County, Indiana",2.35,54.3,18.8,47.6,,1.6,49.5,6.6,51.6,9.8,61.7,,40.5,39.3,19.8,97.44309073,0.577108047,0.248477076,0.032061558,51.77888294,6.987761548,189.1
1948,686,460.5,75689,375391,8.3,407.5750351,"(61494.5, 125635]",41,39.7,42.2,"Placer County, California",2.67,55.6,10.7,31.2,,7.4,19.4,24.5,55.8,8.3,78.2,61.9,53.6,27.6,11.3,83.6439336,1.415037676,6.680135416,2.91853227,56.72986062,4.433234709,153.4
34,15,459.8,36891,5526,21.9,0,"(34218.1, 37413.8]",43,39,48.3,"Hyde County, North Carolina",2.44,39.8,31.7,41,,0,35.2,8.4,49.2,12.7,57.4,43.9,27.4,37.5,20.2,63.41120675,35.25382048,0.386439487,0.491832074,44.7804878,7.282913165,205
168,72,406.2,50078,34372,12.8,0,"(48021.6, 51046.4]",41.7,40.5,42.9,"Steuben County, Indiana",2.44,54.4,12.1,36.3,,5.7,38.1,13.7,58.7,6.9,70.2,55.8,49.8,30.5,15.9,97.30936469,0.253888581,0.428984154,0.178013833,54.37152392,3.515151515,172.6
1962.667684,13,453.5494221,41434,2932,13.9,0,"(40362.7, 42724.4]",52.3,51.9,52.8,"Decatur County, Kansas",1.91,54.4,11.3,40.6,,18.1,37.6,18.5,57.1,3.8,67.8,45.5,35.6,40,16.1,96.5232358,0.413080895,0,0.413080895,42.70196877,7.127429806,214.7
708,314,426.5,58587,167040,11.2,0,"(54545.6, 61494.5]",39.5,38,41.2,"Santa Rosa County, Florida",2.65,54.8,16.2,37.6,,7.5,28,17.9,52.5,7.9,70.5,52.7,38.6,30.5,14.6,85.85898734,5.729687432,1.944466871,1.448258302,58.13925734,5.465692312,190.7
84,38,467.1,43783,13936,15.1,0,"(42724.4, 45201]",41.3,40,42.5,"Murray County, Oklahoma",2.5,53.2,24.6,45.7,,5.5,39.2,13.3,56,3.6,59.2,39.1,34.3,34.9,18.6,76.06495303,1.339838346,0.422340348,2.650549771,52.49859629,3.244147157,203.3
150,59,468.2,40198,30908,17.7,0,"(37413.8, 40362.7]",37,35,39.2,"Pontotoc County, Mississippi",2.87,49.2,14.9,30.8,,6.4,34.7,9.5,57.6,6.6,56.6,44.7,38.6,35.1,21,79.54582692,15.17514828,0.344070518,3.630763181,50.87269968,5.189340813,180.8
449,192,506.6,42121,68714,13.9,160.0838257,"(40362.7, 42724.4]",42,40.5,43.5,"Harrison County, West Virginia",2.48,52.4,17.7,38.6,34.2,9.5,39.5,13.5,53,7.4,64,47.3,44,39.5,21.3,95.67378765,1.820342619,0.526102206,0.155076959,49.69820377,5.060383303,206.7
501,190,468.2,45380,128140,20.5,0,"(45201, 48021.6]",33.6,32.8,34.5,"Harnett County, North Carolina",2.84,51.1,14.9,32.8,,5.3,30.8,13,49.6,11.3,64.5,49.9,31.5,32.2,18.5,67.93838481,20.96122909,1.175997426,5.111808237,53.1496063,5.917065391,182.9
929,355,507.3,42728,152692,18,438.7918162,"(42724.4, 45201]",41.3,39.9,42.8,"Penobscot County, Maine",2.36,48,10.2,21.9,58.4,9.5,34.9,15.6,56.1,7.8,63.3,,42.4,39.4,20.7,95.20063609,0.825746072,1.099474051,0.158371188,48.02575315,4.133114215,187.5
236,120,393.2,41588,47948,21,0,"(40362.7, 42724.4]",42.4,41.5,43.3,"Newaygo County, Michigan",2.58,55.8,21.8,37.7,,4.7,41.1,9.3,48.8,10.1,62.4,45.1,40.5,43.5,23.9,94.27637469,1.376251848,0.314393387,1.723958442,56.1044768,5.713998795,197
136,58,434.1,30056,24184,25.8,0,"[22640, 34218.1]",41.7,39.5,43.5,"Hertford County, North Carolina",2.48,40.1,14,31.4,,3.2,32.9,9,43.3,13.7,54.2,39.6,34.1,45.1,27,35.58765594,58.34701248,0.779711097,1.206500328,40.73517512,5.896994065,184.3
554,196,500.8,49781,117635,15.1,0,"(48021.6, 51046.4]",31.8,30.5,33.6,"Jefferson County, New York",2.54,53.5,8.1,44.2,,5.7,33.5,11.8,48.6,10.6,69.7,52.3,34.5,36.4,19.8,86.39309945,5.525990567,1.450225731,1.668810479,52.37213921,7.816390603,177
41,16,482.6,50219,5788,11.9,0,"(48021.6, 51046.4]",45.9,45.3,46.1,"Stark County, Illinois",2.41,57,13.7,33.6,,11.1,38.8,13.2,53.7,7.7,73.7,,40,41.5,15.5,97.61051374,0.750981396,0.563236047,0,56.16896696,4.589585172,160.4
1184,430,475.2,51048,334941,14.2,8.956801347,"(51046.4, 54545.6]",30.2,29,31.2,"Bell County, Texas",2.89,52.8,10.7,38.6,44.7,6,28.2,15.2,52.5,9.5,70.2,46,30.1,29.3,13.7,64.71609399,21.53256799,2.856695937,4.427970715,52.53632424,5.835105126,177.3
101,48,446.8,45827,10965,13.7,0,"(45201, 48021.6]",55.6,53.4,57.2,"Lancaster County, Virginia",2.13,51.4,10.2,46.6,,10.8,32.8,15.3,48.6,7.9,71,,32.4,42.9,15.5,69.77266601,28.0168928,0.979423129,0.107826399,44.2680093,4.297328688,190.6
105,39,392.2,48840,18658,12.4,0,"(48021.6, 51046.4]",49.2,45.8,51.4,"Chaffee County, Colorado",2.21,55.5,19.1,42.7,34.1,4.1,26.7,21.3,51.9,5.9,63,43.3,31.5,40.7,20.2,93.85548091,2.004478672,0.278551532,0.824731007,52.91387313,4.893475366,140.8
296,134,439.8,43466,61703,16.6,0,"(42724.4, 45201]",38.8,37.9,39.8,"Crawford County, Arkansas",2.58,58,15.7,46,36.6,1.6,38.7,10.1,52.5,7.9,57.4,44.9,40.1,38.5,24,90.93897778,1.13202047,1.65349485,1.196799896,56.79732758,5.975420257,195.3
124,45,473.3,57491,23312,11.8,0,"(54545.6, 61494.5]",41.5,41.2,42.1,"Dawson County, Georgia",2.74,57.1,22.5,20.1,54.1,3.3,29,19.6,53.3,8.5,67.7,54.2,47.5,30.3,15.4,94.98081418,0.555727076,0.50721122,1.658360164,59.5762815,6.774789571,179
189,71,529.8,55882,27800,10.9,0,"(54545.6, 61494.5]",43.1,41.8,44.2,"Wyoming County, Pennsylvania",2.52,51.1,15.7,35,,7.7,48.2,12.2,56.5,7.6,73.3,55.1,48.3,35.1,16.2,97.26791488,0.728319181,0.436991509,0.27356379,51.57885074,4.585798817,191.7
168,78,463.4,35799,27037,20.6,1146.576913,"(34218.1, 37413.8]",43,42.3,44.1,"Mason County, West Virginia",2.44,51.6,23.1,42.5,,3.3,47.5,7.8,41.2,10.3,59.6,41.6,39,47.6,26.6,97.86584244,0.724877654,0.058873312,0.099348714,50.71046319,3.66910141,209.5
38,18,394.3,31820,6432,21.5,0,"[22640, 34218.1]",46.6,45.3,47.6,"Reynolds County, Missouri",2.4,55.6,31.7,36.6,,0,44,5.7,45.7,11.1,52.3,38.1,32.9,48.6,25.9,96.18425053,1.429005777,0.045606567,0.212830648,53.32581736,6.022187005,181.8
46,27,379.5,44947,7263,11.5,0,"(42724.4, 45201]",45.5,45,46.4,"Jefferson County, Nebraska",2.18,58.4,16.2,24.6,,7,42.6,10,62,4,73.2,53,40.3,37.8,16.2,97.1747612,0.013453518,0.242163326,0.053814072,51.29502828,5.139186296,201.3
211,84,501.3,37705,38343,20.2,0,"(37413.8, 40362.7]",33.7,33.5,34.2,"Calloway County, Kentucky",2.35,43.8,2.5,17.2,,9.8,31.6,16.1,52.7,9.1,69.9,54.4,45.3,30.8,16.2,91.3189524,3.907521125,2.204377263,0.325408072,44.97101254,3.144290123,195.3
169,69,441.6,47299,37206,17.5,0,"(45201, 48021.6]",36.9,36.6,37.2,"Howard County, Texas",2.73,44.9,20.3,30.3,,4,31.3,9.3,48,6.4,61.5,48,41.8,31.7,17.7,83.61168813,5.841296219,0.933388727,5.337210913,47.82259504,7.220420251,181.9
55,25,457.8,45413,9259,14.4,0,"(45201, 48021.6]",39.6,37.6,42.5,"Clarke County, Iowa",2.43,53.8,13,60,,1.5,44.6,9.7,,5,67.2,49.5,44.1,37.3,18.2,96.01293103,0.140086207,0.452586207,2.661637931,51.06837607,7.290533188,198.5
383,162,447.8,54068,78620,12,0,"(51046.4, 54545.6]",37.9,36.6,39.7,"Kosciusko County, Indiana",2.58,58.6,21.1,34,,8.2,37.7,13.5,61.6,6.5,70.2,57.5,51.5,27,14.3,92.90871087,0.833514997,1.057922881,3.264814126,58.30122355,6.807405735,187.2
230,86,420.9,55006,88807,17.3,0,"(54545.6, 61494.5]",29.1,29.5,28.8,"Franklin County, Washington",3.4,49.2,28.9,38,30.4,2.7,27.3,10.5,60.2,7.2,52.7,,37.5,36.3,26.1,69.82983006,2.05800354,2.112374628,22.32569439,53.35894843,8.388253538,163.5
383,155,468.5,38878,69838,22.1,243.4204874,"(37413.8, 40362.7]",38.9,37.2,40.1,"Greenwood County, South Carolina",2.52,44.6,19.6,26.9,,9.2,29.7,15.6,51.4,12.9,57.3,42.8,38,39.2,23.2,63.93200613,31.12897909,0.736695762,1.679780998,43.55086301,4.631760644,182.4
3144,1419,497.2,41895,621849,23.3,886.0671964,"(40362.7, 42724.4]",34.6,33.3,35.9,"Baltimore city, Maryland",2.47,26.6,17,29.1,41.6,12.3,29.8,15.3,53.8,13.1,56.1,43.6,39,43.9,29.6,30.31292272,62.83548664,2.568382563,1.670324233,24.02463388,5.449538255,226
1962.667684,14,453.5494221,50372,4424,9.9,0,"(48021.6, 51046.4]",48.1,46.7,49.6,"Kittson County, Minnesota",2.28,54.7,16.4,33.9,41.6,8.1,35,16.8,60.3,2.8,73.8,54.1,41.5,36.5,16.2,98.10267857,0.602678571,0.200892857,0.089285714,51.67364017,6.869220608,168.3
1882,700,490.7,45944,369019,19.7,341.4458334,"(45201, 48021.6]",37.7,36.2,39.2,"Forsyth County, North Carolina",2.46,46.6,16.7,32.4,,11.9,25.6,20.9,57.1,9.5,65.3,52.7,45.3,31.6,18.5,67.04028931,25.98760244,2.056767786,2.918293317,44.9000398,4.481749235,179.9
78,30,372.4,43355,15651,14.1,2875.215641,"(42724.4, 45201]",45.2,42.9,46.4,"Floyd County, Virginia",2.46,58.9,17.8,49.3,,2.7,35.6,12.1,59.5,5.7,69.8,54.3,44.2,33.6,16.4,95.98660053,2.518843007,0,0.10307286,59.06553979,4.274857505,138
47,22,395.4,41624,8575,15.8,0,"(40362.7, 42724.4]",43.6,39.3,49,"Baraga County, Michigan",2.14,41.1,28.8,51,,3.7,44.1,8.8,31.6,8.1,69.8,47.4,43.1,43.2,17.3,73.77445339,18.49252014,0.575373993,0.115074799,48.11701412,4.516129032,182.5
61,23,434.4,55465,11337,11.4,0,"(54545.6, 61494.5]",40.8,35.9,44.8,"Box Butte County, Nebraska",2.31,61.1,27.4,31.5,,10.3,33.8,11.3,64.8,3.9,73.2,58.4,52.8,30.7,15.9,92.72325376,0.114942529,0.309460654,0.707338638,55.21331946,6.383909051,159
1007,370,479.5,62158,201973,11.2,549.578409,"(61494.5, 125635]",39.5,38.2,40.6,"Clermont County, Ohio",2.65,55.1,12.2,37.3,,10,34,18.3,61.9,5.5,74.1,61.7,56.8,27.6,14.9,95.36909903,1.394512819,0.9910877,0.520258631,55.70496712,5.170612813,178.7
84,31,463.3,52513,13134,12.3,0,"(51046.4, 54545.6]",44.6,44.3,45.2,"Madison County, Virginia",2.58,52.2,19.5,31.6,,10.2,36.4,14.4,55.9,6.6,65.3,49.6,42.3,33.5,16.8,85.78382901,8.252833346,0,1.026850232,53.72776334,6.25698324,169.8
324,106,503.6,52195,49453,11.4,0,"(51046.4, 54545.6]",43.6,41.7,44.8,"Tioga County, New York",2.5,55.2,13.9,37.7,,9.5,35.9,14.5,59.1,6.9,74.2,57.2,53.3,33.9,16.5,96.81666965,0.751010976,0.549811749,0.233072372,54.53401771,6.184505988,160.5
678,278,461.9,49261,125467,15.3,255.0471439,"(48021.6, 51046.4]",40.2,38.5,41.4,"Grayson County, Texas",2.55,52.3,21.1,29.1,45.5,4.3,32,13,,7.8,62.2,46.6,41.1,33.4,17,86.86268122,5.965955367,1.087310637,1.936797524,50.44795086,6.10521758,182.3
115,54,519.5,38038,18454,23,0,"(37413.8, 40362.7]",40.9,40.3,41.7,"Hart County, Kentucky",2.49,56.7,35,45.5,18.2,1.3,41.3,5.9,48.1,9.6,54.2,41.1,36.4,42.2,24.8,93.26500732,4.706903096,0.227753376,0.244021474,55.55250891,8.986232791,243.5
51,22,440.7,48216,7228,10.3,138.3508578,"(48021.6, 51046.4]",45.9,45,47.7,"Adair County, Iowa",2.25,56.2,8.6,46.1,,11.5,44.7,11.9,62.5,3.2,75.5,53,43.4,38,14.2,98.46485322,0.363587396,0.323188796,0.175060598,51.62589037,4.989154013,178.9
442,177,458.5,44326,67052,13.8,74.56899123,"(42724.4, 45201]",45.6,44.4,46.5,"Armstrong County, Pennsylvania",2.36,53.9,15.2,42.8,,10,49.4,10.5,53.2,8.5,72.3,51.8,47.8,38.8,16.9,97.75371806,0.935583048,0.185351359,0.223598464,51.86159024,4.390138408,171.1
400,179,483.4,41015,69699,22.2,0,"(40362.7, 42724.4]",37.8,36.4,39,"Muskogee County, Oklahoma",2.53,48.9,20,40.8,,2.4,35.8,13.2,49.6,8.2,52.4,39.1,34.5,39.3,23.2,60.69434951,11.08452951,0.694919116,1.720209615,46.70006452,6.694613026,211.7
21,7,211.1,34258,6876,21.8,0,"(34218.1, 37413.8]",41,38.9,42.3,"Presidio County, Texas",0.0277,54.7,59,27,,2.8,17.3,14,47.6,9.6,35.2,28.9,25.2,36.1,22.7,91.31982475,0.013691128,3.436473165,3.162650602,49.7342445,6.324110672,66.3
103,43,414.4,55318,19856,10.9,0,"(54545.6, 61494.5]",41.5,40.8,42.4,"Carroll County, Indiana",2.55,57.3,21.1,49,,4.9,41.3,11.4,57.9,8.2,72.2,56.9,50.4,27.7,11.9,97.80653543,0.339762166,0.189867093,0.28480064,56.89721545,5.682622023,166.3
20,6,511.4,59102,3190,8,0,"(54545.6, 61494.5]",39,38.8,39.3,"Fallon County, Montana",2.47,61.1,7.8,33.1,,4.2,37.6,11.5,69.5,3.3,78.8,54.9,45.7,23.8,7.7,96.56526006,1.308472359,0.392541708,0,56.51105651,21.32616487,162
2075,706,446.2,72131,530847,10.7,50.86211281,"(61494.5, 125635]",35.9,35,36.8,"Kane County, Illinois",3.01,54.3,18.4,31.2,42.1,8.3,23.5,20.4,64.3,7.6,68.4,58.7,53.5,28.2,18.3,72.70493021,5.545204101,3.694516524,15.53194408,58.70105926,5.683202717,156.6
72,28,481,35955,9984,17.8,0,"(34218.1, 37413.8]",44.9,43.6,45.6,"Washington County, Idaho",2.59,54.4,12.8,38.4,,2.3,34.4,10,45.6,9.7,54.7,38.2,31.3,40.3,21.4,94.53366584,0,0.927680798,1.596009975,50.8656873,8.792924037,173.6
137,65,430.1,44851,23726,16.9,0,"(42724.4, 45201]",44.1,43.5,44.9,"Page County, Virginia",2.52,53.1,14.8,41.3,,7.3,42.9,8.1,52.8,9.3,63.5,48.3,38.1,35.7,18.1,95.63393868,1.644088412,0.51587468,0.57039802,53.00896287,5.963302752,199.2
157,64,524.1,34633,25420,26.7,0,"(34218.1, 37413.8]",39.2,37.5,40.7,"Taylor County, Kentucky",2.46,45.6,9.6,39.8,,4.1,40.6,8.1,51.8,9.6,55.7,40,34.6,44.1,25.9,91.81770896,4.009122554,0.920257672,0.204057136,45.73340196,4.008328995,205
53,28,472.7,34018,7604,21,0,"[22640, 34218.1]",43.4,41.4,45.3,"Dallas County, Arkansas",2.26,52.3,22.1,43.5,,0.6,50.5,9.4,48.6,8.3,55.1,,36.3,44.5,24.9,55.42704626,41.21759024,2.249618709,0.686324352,46.49014778,1.704199635,250
1142,407,373.7,91886,451721,7.2,19.92380252,"(61494.5, 125635]",34,33.3,34.7,"Prince William County, Virginia",3.17,55,13.1,33.9,,10,21.7,23.2,68.5,5.4,78,65.7,54.5,17.1,8.6,61.4488498,20.4657981,7.773897652,4.59188924,60.21316724,6.857756326,150.1
1395,490,496,48552,314488,19.8,241.662639,"(48021.6, 51046.4]",34.1,33.1,35.1,"Fayette County, Kentucky",2.35,43.3,7.3,21.3,56.8,14.6,20.6,23.6,63,6.9,72.4,60.1,52.6,26.4,14.7,76.03874073,14.53426142,3.527339721,2.670723242,40.84865449,4.844986927,176
227,109,467.3,40038,42255,17.6,0,"(37413.8, 40362.7]",37.5,36.2,39,"Pettis County, Missouri",2.56,53.9,20,31.1,,5.1,32.2,11.5,57.1,6.4,61.6,47.7,39.7,35.7,20.1,90.38019661,2.847329148,0.407438114,2.8970745,52.40220693,6.924516532,217.1
116,41,476.9,48675,19858,12.3,0,"(48021.6, 51046.4]",38.4,34.8,41.6,"Davison County, South Dakota",2.2,54.2,13.7,28.2,,10.7,26.9,19.8,66.1,3.3,79.2,61,51.4,27.5,11.1,94.03143478,0.480113206,0.146560873,0.515489968,48.07692308,5.713596914,151.2
207,78,493.1,36303,40764,28.6,0,"(34218.1, 37413.8]",35.1,33.2,37.9,"Tift County, Georgia",2.76,42.3,17.5,24.9,52.9,4.8,33.6,8.7,50.7,5.8,47.9,37.9,33.5,37.4,24.8,64.25086425,29.74722338,1.372986491,3.167675975,42.25950308,6.308457711,183.9
369,168,451.3,35640,67548,25.3,0,"(34218.1, 37413.8]",40.8,39,42.2,"Darlington County, South Carolina",2.52,45.1,21.3,33.6,38.9,6.1,36.5,11.6,48.1,15.9,55.5,41.9,37.6,40.9,24.6,56.63260799,40.62306764,0.593327641,0.472600925,43.48336299,6.092582124,206.8
257,114,550.3,30127,37756,31.1,0,"[22640, 34218.1]",40.5,38.8,42.3,"Floyd County, Kentucky",2.45,50.1,16.2,40,,5.1,34.7,6,38.1,9.7,46.2,,29.8,53,34.6,97.94820047,0.804677999,0.274263241,0.049160392,48.28122973,4.732510288,248.2
117,56,445.9,37080,21713,17.4,0,"(34218.1, 37413.8]",39.1,36.6,41.3,"Yell County, Arkansas",2.8,53.1,15.7,48.8,,4.8,40.6,9.3,50.5,8.3,55.7,40.6,37,42.1,23.5,81.96473552,2.729562629,1.497595603,12.14105793,54.66371797,4.956760177,207.9
